Puerto Rico,OLI_NATION_PUERTORICO,510
Qatar,OLI_NATION_QATAR,974
Reunion,OLI_NATION_REUNIONISLAND,262
Romania,OLI_NATION_ROMANIA,40
Russian Federation,OLI_NATION_RUSSIA,7
Rwanda,OLI_NATION_RWANDA,250
Saint Barthelemy,OLI_NATION_SAINTBARTHELEMY,652
Saint Helena, Ascension and Tristan da Cunha,OLI_NATION_STHELENA,290
Saint Kitts and Nevis,OLI_NATION_STKITTSNEVIS,869
Saint Lucia,OLI_NATION_STLUCIA,758
Saint Martin (French Part),OLI_NATION_SAINTMARTINFRENCH,663
Saint Pierre and Miquelon,OLI_NATION_STPIERRE,508
Saint Vincent and the Grenadines,OLI_NATION_STVINCENT,784
Saipan,OLI_NATION_SAIPAN,670
Samoa,OLI_NATION_SAMOA,1013
San Marino,OLI_NATION_SANMARINO,378
Sao Tome and Principe,OLI_NATION_SAOTOME,239
Saudi Arabia,OLI_NATION_SAUDIARABIA,966
Senegal,OLI_NATION_SENEGAL,221
Serbia,OLI_NATION_SERBIA,1036
Seychelles,OLI_NATION_SEYCHELLES,1010
Sierra Leone,OLI_NATION_SIERRALEONE,232
Singapore,OLI_NATION_SINGAPORE,65
Sint Maarten (Dutch Part),OLI_NATION_SINTMAARTEN,534
Slovakia,OLI_NATION_SLOVAKIA,421
Slovenia,OLI_NATION_SLOVENIA,386
Solomon Islands,OLI_NATION_SOLOMONISLANDS,677
Somalia,OLI_NATION_SOMALIA,252
South Africa,OLI_NATION_SOUTHAFRICA,27
South Georgia and the South Sandwich Islands,OLI_NATION_SOUTHGEORGIASANDWICH,512
South Sudan,OLI_NATION_SOUTH_SUDAN,728
South Yemen,OLI_NATION_SOUTHYEMEN,1039
Spain,OLI_NATION_SPAIN,34
Sri Lanka,OLI_NATION_SRILANKA,94
Sudan,OLI_NATION_SUDAN,249
Suriname,OLI_NATION_SURINAME,597
Svalbard and Jan Mayen,OLI_NATION_SVALBARDISLAND,1019
Swaziland,OLI_NATION_SWAZILAND,1031
Sweden,OLI_NATION_SWEDEN,46
Switzerland,OLI_NATION_SWITZERLAND,41
Syrian Arab Republic,OLI_NATION_SYRIA,963
Taiwan, Province of China,OLI_NATION_TAIWAN,886
Tajikistan,OLI_NATION_TAJIKISTAN,992
Tanzania, United Republic of,OLI_NATION_TANZANIA,255
Thailand,OLI_NATION_THAILAND,66
Timor-Leste,OLI_NATION_EASTTIMOR,1014
Togo,OLI_NATION_TOGO,228
Tokelau,OLI_NATION_TOKELAU,1020
Tonga,OLI_NATION_TONGAISLANDS,676
Trinidad and Tobago,OLI_NATION_TRINIDADTOBAGO,868
Tunisia,OLI_NATION_TUNISIA,216
Turkey,OLI_NATION_TURKEY,90
Turkmenistan,OLI_NATION_TURKMENISTAN,993
Turks and Caicos Islands,OLI_NATION_TURKSCAICOSIS,649
Tuvalu,OLI_NATION_TUVALU,688
Uganda,OLI_NATION_UGANDA,256
Ukraine,OLI_NATION_UKRAINE,380
Union of Soviet Socialist Republics,OLI_NATION_USSR,1040
United Arab Emirates,OLI_NATION_UNITEDARABEMIRATES,971
United Kingdom,OLI_NATION_UK,44
United States Minor Outlying Islands,OLI_NATION_USMINOROUTLYINGISLANDS,1021
United States of America,OLI_NATION_USA,1
Unknown,OLI_UNKNOWN,0
Uruguay,OLI_NATION_URUGUAY,598
Uzbekistan,OLI_NATION_UZBEKISTAN,998
Vanuatu,OLI_NATION_VANUATU,678
Venezuela,OLI_NATION_VENEZUELA,58
Viet Nam,OLI_NATION_VIETNAM,84
Virgin Islands, British,OLI_NATION_BRITISHVIRGINIS,284
Virgin Islands, US,OLI_NATION_VIRGINISLANDSUS,511
Wallis and Futuna,OLI_NATION_WALLISISLANDS,681
Western Sahara,OLI_NATION_WESTERNSARAHA,1022
Western Samoa,OLI_NATION_WESTERNSAMOA,685
Yemen,OLI_NATION_YEMEN,967
Yugoslavia,OLI_NATION_YUGOSLAVIA,38
Zaire,OLI_NATION_ZAIRE,243
Zambia,OLI_NATION_ZAMBIA,260
Zimbabwe,OLI_NATION_ZIMBABWE,263

